%time,field.throttle_bow,field.position_bow,field.lin_act_bow,
1.58802279711315E+018,18.3726794907,90,2,105.05959168
1.5880227973398E+018,39.5500298866,90,2,105.286243072
1.58802279761437E+018,6.9179912882,90,2,105.560813056
1.58802279784271E+018,33.1630726283,90,2,105.789146624
1.58802279811931E+018,-22.7384434135,90,2,106.065753856
1.58802279834022E+018,24.8944613274,90,2,106.286662144
1.58802279861591E+018,-37.0162845095,90,2,106.56235264
1.5880227988411E+018,12.1717393669,90,2,106.787538688
1.58802279911265E+018,-46.6083803522,90,2,107.059088128
1.58802279934398E+018,-27.486734041,90,2,107.290417152
1.58802279961481E+018,-51.0116881672,90,2,107.561250304
1.58802279984199E+018,-42.080256124,90,2,107.788425472
1.58802280011356E+018,-59.6726617945,90,2,108.059999744
1.58802280034033E+018,-54.3123008578,90,2,108.286770688
1.58802280061277E+018,-62.0509612924,90,2,108.559205632
1.58802280083982E+018,-61.2822123801,90,2,108.786258432
1.58802280111381E+018,-62.0407101294,90,2,109.060251648
1.58802280134271E+018,-66.3060137124,90,2,109.28914688
1.58802280161297E+018,-59.7344836347,90,2,109.559409152
1.5880228018401E+018,-70.3064719062,90,2,109.786543872
1.5880228021124E+018,-60.4501643154,90,2,110.058836736
1.58802280235255E+018,-73.6840956042,90,2,110.298985728
1.58802280261381E+018,-60.7977199633,90,2,110.560251392
1.58802280284043E+018,-76.4271963041,90,2,110.786865664
1.58802280312175E+018,-60.2847068416,90,2,111.068194304
1.58802280341634E+018,-94.3992157002,90,2,111.362779648
1.58802280364032E+018,-94.3992157002,90,2,111.586756608
1.58802280391341E+018,-94.3992157002,90,2,111.859848704
1.58802280414011E+018,-94.3992157002,90,2,112.086546944
1.58802280441252E+018,-94.3992157002,90,2,112.35895552
1.58802280464246E+018,-94.3992157002,90,2,112.588895744
1.58802280491418E+018,-94.3992157002,90,2,112.860621056
1.58802280514164E+018,-94.3992157002,90,2,113.088077056
1.58802280541311E+018,-94.3992157002,90,2,113.359553792
1.58802280563861E+018,-75.6986611261,90,2,113.5850496
1.58802280591445E+018,-94.3992157002,90,2,113.860891648
1.58802280613975E+018,-49.2983825795,90,2,114.086194176
1.58802280641362E+018,-94.3992157002,90,2,114.360065024
1.58802280663682E+018,-49.2983825795,90,2,114.583264768
1.58802280691319E+018,-94.3992157002,90,2,114.859629056
1.58802280714165E+018,-54.2756113207,90,2,115.088088576
1.58802280741961E+018,-94.3992157002,90,2,115.366046976
1.58802280764129E+018,-68.6064164537,90,2,115.587726592
1.58802280791533E+018,-90.6142717289,90,2,115.861769216
1.58802280814412E+018,-80.3168608291,90,2,116.090556928
1.58802280841364E+018,-82.2560772501,90,2,116.360077056
1.58802280864082E+018,-88.7684492442,90,2,116.587258112
1.58802280891423E+018,-75.1516984815,90,2,116.860669696
1.58802280914524E+018,-94.2362754714,90,2,117.091681536
1.58802280941338E+018,-68.9479147988,90,2,117.359821312
1.58802280963982E+018,-94.3992157002,90,2,117.586258176
1.58802280991574E+018,-62.0901835372,90,2,117.862179328
1.58802281013586E+018,-94.3992157002,90,2,118.082302976
1.58802281041152E+018,-55.3422995143,90,2,118.357960192
1.58802281063801E+018,-94.3992157002,90,2,118.584454912
1.58802281085813E+018,-94.3992157002,90,2,118.804570112
1.58802281111268E+018,-49.2983825795,90,2,119.059121664
1.5880228113422E+018,-94.3992157002,90,2,119.288638976
1.58802281161724E+018,-49.2983825795,90,2,119.563682048
1.58802281183995E+018,-91.0558454471,90,2,119.786394112
1.58802281211594E+018,-42.5474510425,90,2,120.062382848
1.58802281236775E+018,-86.6574397243,90,2,120.314194688
1.58802281261621E+018,-32.0722693257,90,2,120.562645248
1.58802281284694E+018,-82.2191547233,90,2,120.793384448
1.58802281312553E+018,-16.706525777,90,2,121.071972352
1.58802281333974E+018,-75.7030689811,90,2,121.286181376
1.58802281361328E+018,17.4616988744,90,2,121.559724032
1.58802281384157E+018,-69.730572653,90,2,121.788009216
